"","cell_diameter_um","spindle_length__asters_um","spindle_length_poles_um","spindle_width_um","spindle_aspect_ratio_asters_um","spindle_aspect_ratio_poles_um","metaphase_plate_lengt_h_um","metaphase_plate_width_um","metaphase_plate_aspect_ratio_um","distance_between_chromosomes_um","genome","astere.to.pole_distance_AVG","inner_aster_diameter_AVG","polar_body_diameter_AVG","outer_aster_diameter_AVG"
"46",144.85498,41.4606,32.26856,13.56308,3.05687203791469,2.37914691943128,12.40604,4.04964,3.06349206349206,0,811,3.47112,5.36738,10.1241,21.91948
"47",148.90462,34.10054,22.9801,13.88448,2.45601851851852,1.65509259259259,10.7669,6.2673,1.71794871794872,0,811,2.45238265923164,4.821,9.12776,32.07572
"48",180.69975,44.33814,32.5017,15.10278,2.93576017130621,2.15203426124197,15.23214,4.41441,3.45054945054945,0,811,2.4253438886587,5.57865,11.395105,33.53658
"50",148.19805,39.00204,30.94938,16.47723,2.36702649656526,1.87831207065751,13.50195,4.86717,2.77408637873754,0,811,1.560405,5.069295,11.395105,33.84381
"51",149.96058,42.60795,31.64469,18.54699,2.2972972972973,1.70619006102877,13.80918,4.98036,2.77272727272727,0,811,2.4253438886587,11.249490777682,11.395105,51.0408897974119
"52",152.75799,35.54166,27.90942,15.95979,2.22695035460993,1.74873353596758,15.81426,3.8808,4.075,0,811,1.09956,4.62462,11.395105,26.332845
"54",154.5852,37.9995,28.63707,16.26702,2.33598409542744,1.76043737574553,14.65002,5.40078,2.7125748502994,0,811,2.934855,4.73781,11.395105,27.594105
"57",123.39327,36.49569,27.1656,17.38275,2.09953488372093,1.56279069767442,14.65002,4.41441,3.31868131868132,0,811,2.4255,4.73781,11.395105,28.24899
"58",153.50181,33.98934,24.07713,13.16238,2.58230958230958,1.82923832923833,11.99814,4.57611,2.62190812720848,0,811,2.49018,5.150145,7.8943,31.491075
"60",115.84188,27.3273,20.76228,13.24323,2.06349206349206,1.56776556776557,13.16238,3.89697,3.37759336099585,0,811,0,5.780775,7.8943,37.360785
"61",160.63278,44.04708,33.05148,14.10024,3.12385321100917,2.34403669724771,14.74704,5.12589,2.87697160883281,0,811,2.32848,6.27396,7.8943,37.07781
"62",163.30083,40.68372,30.27024,16.31553,2.49355797819623,1.85530227948464,13.63131,3.73527,3.64935064935065,0,811,2.401245,5.101635,7.8943,37.12632
"63",157.1724,45.95514,33.16467,15.24831,3.01378579003181,2.17497348886532,13.11387,1.73019,7.57943925233645,0,811,2.02125,5.764605,7.8943,31.474905
"64",99.08976,38.88885,30.52896,12.72579,3.0559085133418,2.3989834815756,11.30283,2.21529,5.1021897810219,0,811,1.996995,5.36844,7.8943,29.809395
"67",145.43298,49.94913,33.3102,18.99975,2.62893617021277,1.7531914893617,15.89511,4.77328073067158,2.81968721806829,0,811,4.51143,9.3786,7.8943,48.89808
"68",105.54159,34.94337,27.71538,12.936,2.70125,2.1425,10.80156,3.12081,3.46113989637306,0,811,1.21275,6.621615,7.8943,35.92974
"69",151.44822,40.47351,31.3698,16.13766,2.50801603206413,1.9438877755511,17.41509,4.13952,4.20703125,0,811,2.02125,6.330555,7.8943,32.445105
"70",177.61128,40.97478,32.71191,12.14367,3.37416777629827,2.69374167776298,11.98197,3.8808,3.0875,0,811,2.79741,7.16331,7.8943,41.904555
"71",176.85129,45.4377,33.56892,15.26448,2.97669491525424,2.19915254237288,17.51211,3.28251,5.33497536945813,0,811,3.436125,7.785855,7.8943,31.43448
"72",154.52052,41.24967,32.30766,15.10278,2.73126338329764,2.13918629550321,14.50449,6.69438,2.16666666666667,0,811,2.918685,6.039495,7.8943,28.75026
"73",149.02272,43.41645,32.12979,13.53429,3.2078853046595,2.37395459976105,11.54538,4.2042,2.74615384615385,0,811,0,6.120345,7.8943,36.018675
"74",132.33528,29.81748,19.22613,13.0977,2.27654320987654,1.4679012345679,11.28666,4.57611,2.46643109540636,0,811,2.482095,3.953565,7.8943,31.022145
"75",149.18442,47.94405,38.06418,18.06189,2.6544315129812,2.10743061772605,17.57679,5.70801,3.07932011331445,0,811,0,6.98544,7.8943,43.93389
"76",164.83698,41.29818,28.52388,11.8041,3.4986301369863,2.41643835616438,12.1275,4.5276,2.67857142857143,0,811,2.708475,6.64587,7.8943,26.66433
"77",166.04973,44.06325,33.56892,12.59643,3.49807445442875,2.66495507060334,14.11641,5.38461,2.62162162162162,0,811,1.03488,6.282045,7.8943,28.418775
"79",154.92477,41.58924,31.75788,14.24577,2.91940976163451,2.22928490351873,12.53175,2.16678,5.78358208955224,0,811,2.86209,6.38715,7.8943,28.32984
"80",149.66952,41.8803,29.13834,15.11895,2.77005347593583,1.92727272727273,14.74704,3.65442,4.0353982300885,0,811,2.37699,7.042035,7.8943,31.58001
"81",174.23175,42.30072,31.77405,13.38876,3.15942028985507,2.3731884057971,11.49687,3.8808,2.9625,0,811,3.145065,6.16077,7.8943,27.222195
"82",150.42951,40.92627,29.76897,14.18109,2.88597491448119,2.09920182440137,15.11895,4.33356,3.48880597014925,0,811,2.821665,6.621615,7.8943,29.81748
"83",157.94856,44.98494,35.60634,16.21851,2.77367896311067,2.19541375872383,17.44743,4.851,3.59666666666667,0,811,2.401245,7.90713,7.8943,37.77312
"84",160.81065,39.79437,28.81494,16.08915,2.47336683417085,1.79095477386935,13.45344,4.23654,3.17557251908397,0,811,2.25804193184052,7.84245,7.8943,36.584625
"86",175.83258,39.14757,30.93321,16.10532,2.43072289156627,1.9206827309237,12.2892,6.6297,1.85365853658537,0,811,0,5.48163,7.8943,43.93389
"87",187.39413,49.04361,32.19447,16.3317,3.0029702970297,1.97128712871287,13.76067,4.98036,2.76298701298701,0,811,5.473545,8.384145,7.8943,43.64283
"89",146.85594,43.77219,34.70082,15.13512,2.89209401709402,2.29273504273504,13.13004,3.00762,4.36559139784946,0,811,3.28251,4.891425,7.8943,39.48714
"90",181.16868,44.40282,31.38597,16.62276,2.67120622568093,1.88813229571984,19.19379,4.44675,4.31636363636364,0,811,2.82975,7.97181,8.86116,39.834795
"91",164.19018,42.64029,31.22427,13.61514,3.13182897862233,2.29334916864608,13.03302,3.05613,4.26455026455027,0,811,2.417415,6.80757,8.86116,29.46174
"92",150.02526,41.18499,23.13927,24.44904,1.68452380952381,0.946428571428571,10.21944,5.77269,1.7703081232493,0,811,6.201195,11.682825,8.86116,53.74908
"93",105.41223,38.19354,24.88563,13.51812,2.82535885167464,1.84090909090909,11.28666,3.13698,3.5979381443299,0,811,3.339105,7.89096,8.86116,46.29471
"95",81.93339,33.11616,23.05842,10.12242,3.27156549520767,2.27795527156549,9.45945,4.57611,2.06713780918728,0,811,0,8.74797,8.86116,41.15265
"96",167.48886,57.87243,36.68973,22.49247,2.57296908698778,1.63120057512581,16.50957,6.98544,2.36342592592593,0,811,3.921225,19.250385,8.86116,71.107575
"97",118.07334,37.78929,26.13072,12.43473,3.03901170351105,2.10143042912874,9.94455,4.01016,2.47983870967742,0,811,2.045505,10.46199,8.86116,44.24112
"98",114.19254,38.87268,26.50263,17.54445,2.21566820276498,1.51059907834101,12.2892,5.46546,2.24852071005917,0,811,3.3957,10.76922,8.86116,40.79691
"100",128.85873,47.8632,32.35617,17.52828,2.73062730627306,1.84594095940959,12.7743,5.78886,2.20670391061453,0,811,2.82975,14.14875,8.86116,42.001575
