time_pf,num_of_cells,meiotic,stage,cell_diameter_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,astere-to-pole_distance_1_um,aster-to-pole_distance_2_um,inner_aster_diameter_1_um,inner_aster_diameter_2_um,outer_aster_diameter_1_um,outer__diameter_2_um,centrosome,metaphase_plate_lengt_h_um,metaphase_plate_width_um,metaphase_plate_aspect_ratio_um,polar_body_diameter_1_um,polar_body_diameter_2_um,distance_between_chromosomes_um,microscope,fixation,organism,phylum,classification,genome,chromosomes,cleavage_type,num_of_cells_CAT,num_of_cells_NUM,classification_CAT,phylum_CAT,organism_CAT,cleavage_type_CAT,fixation_CAT,microscope_CAT,stage_CAT,day_old
210,2,0,m,177.22320000000002,53.86227000000001,33.98934,15.94362,3.3782961460446255,2.13184584178499,5.80503,6.27396,6.27396,8.085,50.06232000000001,45.72876000000001,1,10.59135,4.382070000000001,2.4169741697416973,12.15984,10.33263,0.0,mm40,pf,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,1.0,1.0,2.0,131106
210,2,0,a,171.85476,67.83315,40.893930000000005,14.00322,4.844110854503464,2.920323325635104,9.87987,10.3488,9.00669,8.05266,80.99553,76.95303,1,10.89858,,,12.15984,10.33263,25.01499,mm40,pf,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,1.0,1.0,1.0,131106
120,1,0,m,125.70558,53.288120000000006,30.115180000000002,12.98456,4.1039603960396045,2.3193069306930694,3.8889400000000003,7.2636400000000005,16.58424,,52.35606000000001,,1,15.2665,4.0175,3.8000000000000003,12.15984,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,a,185.7692,72.66854000000001,42.424800000000005,17.29132,4.202602230483272,2.4535315985130115,5.656640000000001,,22.75512,,137.43064,140.25896,1,17.13062,,,12.15984,10.33263,31.04724,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,m,217.8,73.18278,54.86298,26.54764,2.756658595641646,2.0665859564164646,9.9634,7.7136000000000005,28.54032,28.443900000000003,86.39232000000001,86.97084000000001,1,15.748600000000001,9.03134,1.7437722419928827,12.15984,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,212.76680000000002,48.145720000000004,26.0334,12.95242,3.7171215880893302,2.009925558312655,4.306760000000001,6.87796,12.598880000000001,13.048840000000002,67.36544,50.97404,1,12.95242,6.23516,2.077319587628866,12.15984,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,a,219.32336,67.75112000000001,52.74174,24.105,2.810666666666667,2.188,0.0,0.0,20.63388,23.590760000000003,70.5473,84.81746,1,12.598880000000001,,,12.15984,10.33263,8.96706,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,a,242.88198000000003,64.95494000000001,33.16848,24.169280000000004,2.6875,1.3723404255319147,0.0,0.0,45.25312000000001,35.86824,114.61124000000001,103.0087,1,14.1416,,,12.15984,10.33263,14.88082,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,a,220.60896,80.73568,35.38614,31.304360000000003,2.5790554414784395,1.1303901437371662,12.759580000000001,8.9992,41.71772000000001,41.97484,100.56606,106.92978000000001,1,16.905640000000002,,,12.15984,10.33263,19.476840000000003,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,1.0,140603
120,1,0,m,179.08408000000003,48.40284,27.704680000000003,13.62736,3.55188679245283,2.0330188679245285,8.42068,5.27096,16.937780000000004,16.26284,67.14046,92.62748,1,14.848680000000002,4.821000000000001,3.08,12.15984,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,229.9,64.34428,27.383280000000003,19.50898,3.2981878088962104,1.4036243822075782,10.31694,12.116780000000002,22.015900000000002,21.40524,70.67586,69.74380000000001,1,16.07,7.874300000000001,2.0408163265306123,12.15984,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,1,0,m,220.9,57.3699,28.15464,15.87716,3.61336032388664,1.7732793522267207,9.19204,10.70262,10.9276,,80.57498,72.1543,1,13.530940000000001,4.85314,2.7880794701986757,13.3381,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,197.1,77.42526000000001,33.77914,19.31614,4.0083194675540765,1.7487520798668883,16.8735,16.00572,17.966260000000002,24.587100000000003,84.84960000000001,82.56766,1,16.35926,8.16356,2.0039370078740157,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
120,2,0,m,207.8,75.97896,31.304360000000003,14.366580000000003,5.288590604026845,2.1789709172259504,10.34908,13.530940000000001,24.715660000000003,25.936980000000002,78.67872000000001,88.64212,1,13.852340000000002,8.09928,1.7103174603174605,15.68432,10.33263,0.0,mm20,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,2.0,2.0,140603
